,variable,description
78,ER.H2O.FWAG.ZS,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)"
18,ER.H2O.FWDM.ZS,"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)"
19,ER.H2O.FWIN.ZS,"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)"
20,ER.H2O.FWTL.K3,"Annual freshwater withdrawals, total (billion cubic meters)"
79,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)"
125,ER.H2O.INTR.K3,"Renewable internal freshwater resources, total (billion cubic meters)"
124,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters)
62,ER.LND.PTLD.ZS,Terrestrial protected areas (% of total land area)
102,ER.MRN.PTMR.ZS,Marine protected areas (% of territorial waters)
61,ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area)
70,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$)
8,NY.ADJ.AEDU.GN.ZS,Adjusted savings: education expenditure (% of GNI)
69,NY.ADJ.DCO2.CD,Adjusted savings: carbon dioxide damage (current US$)
68,NY.ADJ.DCO2.GN.ZS,Adjusted savings: carbon dioxide damage (% of GNI)
11,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$)
10,NY.ADJ.DFOR.GN.ZS,Adjusted savings: net forest depletion (% of GNI)
7,NY.ADJ.DKAP.CD,Adjusted savings: consumption of fixed capital (current US$)
6,NY.ADJ.DKAP.GN.ZS,Adjusted savings: consumption of fixed capital (% of GNI)
74,NY.ADJ.DMIN.CD,Adjusted savings: mineral depletion (current US$)
9,NY.ADJ.DMIN.GN.ZS,Adjusted savings: mineral depletion (% of GNI)
72,NY.ADJ.DNGY.CD,Adjusted savings: energy depletion (current US$)
71,NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI)
15,NY.ADJ.DPEM.CD,Adjusted savings: particulate emission damage (current US$)
14,NY.ADJ.DPEM.GN.ZS,Adjusted savings: particulate emission damage (% of GNI)
73,NY.ADJ.ICTR.GN.ZS,Adjusted savings: gross savings (% of GNI)
13,NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$)
12,NY.ADJ.NNAT.GN.ZS,Adjusted savings: net national savings (% of GNI)
5,NY.ADJ.SVNG.CD,"Adjusted net savings, including particulate emission damage (current US$)"
